ds,Divorce,Forecast,cap,floor,yhat_lower,yhat_upper,trend_lower,trend_upper
2007-01-01,6568.0,6643.860971032395,10808.4,0,6078.479630659336,7231.335490355578,6299.372910700741,6299.372910700741
2007-02-01,5963.0,6117.451349188043,10808.4,0,5538.748710505715,6684.956540132688,6310.1289590168735,6310.1289590168735
2007-03-01,6388.0,6564.848664812092,10808.4,0,5981.64602435851,7130.073525125605,6319.837758577257,6319.837758577257
2007-04-01,6696.0,6630.2610182840535,10808.4,0,6037.0434858928065,7231.520878564666,6330.579690530341,6330.579690530341
2007-05-01,6298.0,6471.492005346764,10808.4,0,5880.058942888421,7046.0422885689395,6340.96793365109,6340.96793365109
2007-06-01,6464.0,6405.151949587593,10808.4,0,5816.113264962279,6977.211619366753,6351.694957716795,6351.694957716795
2007-07-01,5849.0,6045.903260338253,10808.4,0,5490.466920767487,6603.75737593249,6362.068620530189,6362.068620530189
2007-08-01,6282.0,6215.878711121026,10808.4,0,5673.847017138697,6775.981917875335,6372.780420317294,6372.780420317294
2007-09-01,6058.0,6204.8897142748665,10808.4,0,5619.040607158695,6767.066298093046,6383.484359600789,6383.484359600789
2007-10-01,6261.0,6440.097034172412,10808.4,0,5855.950146154859,7042.2083125636245,6393.835452792238,6393.835452792238
2007-11-01,6062.0,6142.655124682358,10808.4,0,5549.639370234263,6726.509654261346,6404.52369420052,6404.52369420052
2007-12-01,5999.0,6269.587626683878,10808.4,0,5707.294521764487,6798.807296943666,6414.859444888251,6414.859444888251
2008-01-01,7248.0,6773.924321921717,10808.4,0,6215.538188390036,7356.498724642996,6425.531676821754,6425.531676821754
2008-02-01,6408.0,6225.843561431965,10808.4,0,5639.626091322931,6809.532195340216,6436.195654008245,6436.195654008245
2008-03-01,6693.0,6843.715381574432,10808.4,0,6255.155504222484,7411.244331129185,6446.164088977365,6446.164088977365
2008-04-01,6679.0,6442.3280481235715,10808.4,0,5881.627976491348,7013.249739832046,6456.811859703788,6456.811859703788
2008-05-01,6621.0,6678.029832307155,10808.4,0,6138.726705221965,7229.717200372055,6467.10807309437,6467.10807309437
2008-06-01,6604.0,6587.330428080816,10808.4,0,6017.768747649351,7169.0552596770385,6477.739066555832,6477.739066555832
2008-07-01,6420.0,6269.847649565194,10808.4,0,5670.395776147314,6855.78806970896,6488.0188962569855,6488.0188962569855
2008-08-01,6035.0,6260.954306542665,10808.4,0,5686.571237477761,6850.138236055883,6498.632807878651,6498.632807878651
2008-09-01,6199.0,6252.656313972698,10808.4,0,5644.775234400169,6853.093312659006,6509.237922509798,6509.237922509798
2008-10-01,6434.0,6609.077486541032,10808.4,0,6035.444964049679,7147.011248445523,6519.492487437455,6519.492487437455
2008-11-01,6008.0,6325.359611508837,10808.4,0,5757.013188700569,6946.06689269127,6530.077994187348,6530.077994187348
2008-12-01,6690.0,6324.253018012907,10808.4,0,5753.646009459275,6899.860508503697,6540.313442046034,6540.313442046034
2009-01-01,6910.0,6885.08764116808,10808.4,0,6283.170025994843,7457.966058088979,6550.881119288153,6550.881119288153
2009-02-01,6504.0,6403.00605581279,10808.4,0,5831.467050890833,6926.857971653513,6561.439621696162,6561.439621696162
2009-03-01,7068.0,6916.180726138857,10808.4,0,6323.658882624611,7473.791222446935,6570.968384023942,6570.968384023942
2009-04-01,6644.0,6671.321830584659,10808.4,0,6098.671792950174,7289.414153998557,6581.509213803662,6581.509213803662
2009-05-01,6546.0,6777.489676508184,10808.4,0,6238.538734283391,7356.310635389521,6591.69384204933,6591.69384204933
2009-06-01,7031.0,6693.552767439791,10808.4,0,6132.039921045587,7236.260370741288,6602.20865411657,6602.20865411657
2009-07-01,6326.0,6360.665439869107,10808.4,0,5791.375706043991,6914.347226413285,6612.375205050477,6612.375205050477
2009-08-01,6528.0,6411.194225878412,10808.4,0,5834.842005943283,7018.066314057088,6622.871192085952,6622.871192085952
2009-09-01,6817.0,6403.088087102446,10808.4,0,5848.807901217339,6973.94953096353,6633.3575015618635,6633.3575015618635
2009-10-01,6536.0,6719.338896862198,10808.4,0,6123.573415778135,7265.756517668576,6643.49625874138,6643.49625874138
2009-11-01,6635.0,6429.79550412181,10808.4,0,5875.84822784471,7061.867190105881,6653.963308806555,6653.963308806555
2009-12-01,6746.0,6468.158449195139,10808.4,0,5888.790528208283,7043.85756700982,6660.878058174026,6660.878058174026
2010-01-01,6983.0,7007.776453645924,10808.4,0,6425.0351870293825,7591.233579242303,6668.018731922911,6668.018731922911
2010-02-01,6314.0,6499.794026596374,10808.4,0,5942.593896010127,7072.092827241674,6675.154740451153,6675.154740451153
2010-03-01,7036.0,6975.951194461588,10808.4,0,6405.876079929781,7581.150504395321,6681.59613829683,6681.59613829683
2010-04-01,7342.0,6883.291714718648,10808.4,0,6351.58563645909,7481.285807958177,6688.723203629423,6688.723203629423
2010-05-01,6909.0,6854.608804718163,10808.4,0,6348.696833325206,7406.584704769441,6695.615857812199,6695.615857812199
2010-06-01,6969.0,6775.352863065795,10808.4,0,6200.4108361601975,7314.108806104625,6702.733588667015,6702.733588667015
2010-07-01,6683.0,6421.746722502003,10808.4,0,5862.88731056559,6973.510016958723,6706.134237998486,6706.134237998486
2010-08-01,6374.0,6524.905387484696,10808.4,0,5966.95000870538,7119.712659516512,6709.6470927334585,6709.6470927334585
2010-09-01,6517.0,6508.897142563984,10808.4,0,5927.576427520823,7094.026298232635,6713.158776316001,6713.158776316001
2010-10-01,6572.0,6777.952919887338,10808.4,0,6158.538062464389,7361.960975200322,6716.556062091722,6716.556062091722
2010-11-01,6184.0,6476.840680716599,10808.4,0,5895.5366401354,7074.164360810778,6720.065433098177,6720.065433098177
2010-12-01,6561.0,6554.345915622741,10808.4,0,5962.80379638084,7107.927396280646,6723.4604757402985,6723.4604757402985
2011-01-01,7090.0,7071.455583852667,10808.4,0,6475.084940891874,7628.903892012395,6726.96752352124,6726.96752352124
2011-02-01,6283.0,6537.795776116574,10808.4,0,5917.388715157192,7124.243579925926,6730.473385945589,6730.473385945589
2011-03-01,7087.0,6978.649857021211,10808.4,0,6438.890077799469,7521.966063421702,6733.638950785868,6733.638950785868
2011-04-01,7084.0,7036.823878600226,10808.4,0,6464.950587600987,7607.954811574676,6737.142550846957,6737.142550846957
2011-05-01,7066.0,6871.056067699378,10808.4,0,6328.621578970947,7448.97205707507,6740.53199600365,6740.53199600365
2011-06-01,6926.0,6797.490238483574,10808.4,0,6179.761621595477,7363.275364329815,6744.03324661292,6744.03324661292
2011-07-01,6838.0,6431.25505281062,10808.4,0,5898.093232891256,7024.370855418686,6747.420413002517,6747.420413002517
2011-08-01,6628.0,6594.017594422804,10808.4,0,6009.402189585716,7179.756106212719,6750.919303619538,6750.919303619538
2011-09-01,6295.0,6575.8222407582825,10808.4,0,5960.14082331797,7144.893002386216,6754.416886084021,6754.416886084021
2011-10-01,6027.0,6804.062076436239,10808.4,0,6212.791623547464,7394.509976377279,6757.800495055982,6757.800495055982
2011-11-01,6198.0,6499.427132315659,10808.4,0,5941.496042208168,7108.862639719964,6761.295701833594,6761.295701833594
2011-12-01,6744.0,6619.405188484533,10808.4,0,6054.640295200702,7202.52807120583,6764.677006688572,6764.677006688572
2012-01-01,7520.0,7116.562472419167,10808.4,0,6552.364191386637,7677.896324307573,6768.1698273192915,6768.1698273192915
2012-02-01,7024.0,6561.309338743548,10808.4,0,5984.665921290857,7106.5327682932775,6771.661431319594,6771.661431319594
2012-03-01,7150.0,7172.477959336784,10808.4,0,6623.218728043646,7740.296497615591,6774.926666739588,6774.926666739588
2012-04-01,7227.0,6763.932091864379,10808.4,0,6186.250660266089,7350.669488165859,6778.4159034453205,6778.4159034453205
2012-05-01,7336.0,6992.713177473221,10808.4,0,6442.977814405171,7544.299768883141,6781.791418260392,6781.791418260392
2012-06-01,6879.0,6894.8696044255,10808.4,0,6315.156099815847,7479.498574278222,6785.278242900568,6785.278242900568
2012-07-01,6866.0,6570.480171755763,10808.4,0,5996.610212287171,7132.784704006696,6788.6514184475245,6788.6514184475245
2012-08-01,6515.0,6554.457319338079,10808.4,0,5964.103988533645,7094.117487690862,6792.135820673905,6792.135820673905
2012-09-01,6048.0,6539.037379345302,10808.4,0,5977.074798467699,7149.929181013723,6795.618987882102,6795.618987882102
2012-10-01,7292.0,6888.573617050595,10808.4,0,6306.397951841377,7418.453872194607,6798.988617947358,6798.988617947358
2012-11-01,6352.0,6597.750966062558,10808.4,0,6061.559141062455,7191.563540066852,6802.469348741262,6802.469348741262
2012-12-01,6018.0,6589.7761904833715,10808.4,0,6015.360033326788,7108.715042361279,6805.83661451636,6805.83661451636
2013-01-01,7478.0,7143.521418960968,10808.4,0,6553.519842661673,7677.748852965191,6809.314897080902,6809.314897080902
2013-02-01,6509.0,6654.358365655677,10808.4,0,6090.253889444967,7235.369741994071,6812.791931539006,6812.791931539006
2013-03-01,7005.0,7161.143745937718,10808.4,0,6577.38882974882,7679.472103945564,6815.9314038221955,6815.9314038221955
2013-04-01,7292.0,6909.218672344979,10808.4,0,6313.456492922457,7497.719904577496,6819.406055564619,6819.406055564619
2013-05-01,7090.0,7008.563267543218,10808.4,0,6446.570258232595,7599.73588781576,6822.76743308431,6822.76743308431
2013-06-01,6717.0,6917.583731809086,10808.4,0,6334.204921782744,7520.138366903373,6826.2396184854915,6826.2396184854915
2013-07-01,6640.0,6577.888832182785,10808.4,0,5995.915244130632,7138.859720711598,6829.598597363619,6829.598597363619
2013-08-01,6248.0,6621.391332888266,10808.4,0,6048.910662643327,7202.426091177139,6833.068299095664,6833.068299095664
2013-09-01,6406.0,6606.267320294567,10808.4,0,5990.750033954957,7215.142475124014,6836.536734754414,6836.536734754414
2013-10-01,6583.0,6915.7347155844645,10808.4,0,6357.320871851584,7528.410075338756,6839.892077463501,6839.892077463501
2013-11-01,6115.0,6619.190209516389,10808.4,0,6022.032031270209,7239.91617082249,6843.358014201098,6843.358014201098
2013-12-01,5796.0,6661.202334598688,10808.4,0,6082.57960148301,7253.767038003881,6853.921943577577,6853.921943577577
2014-01-01,6800.0,7204.583197258886,10808.4,0,6641.267424211424,7808.552128200934,6864.825475535745,6864.825475535745
2014-02-01,6243.0,6700.355479983529,10808.4,0,6118.30587330147,7261.596706120914,6875.716193838538,6875.716193838538
2014-03-01,7084.0,7179.896947401312,10808.4,0,6580.817712760287,7727.493861456991,6885.541891236765,6885.541891236765
2014-04-01,7370.0,7090.976511822462,10808.4,0,6564.513457106563,7686.224109170172,6896.4080007334405,6896.4080007334405
2014-05-01,7243.0,7065.9041171126155,10808.4,0,6492.412865556936,7633.301304419886,6906.911170206778,6906.911170206778
2014-06-01,7140.0,6990.370808408987,10808.4,0,6390.209728466393,7566.09927013142,6917.751534010024,6917.751534010024
2014-07-01,6911.0,6643.842138340344,10808.4,0,6065.013475132567,7236.904358403221,6928.229653837144,6928.229653837144
2014-08-01,6315.0,6754.302275928762,10808.4,0,6232.75402850606,7331.1267931376215,6939.043981177914,6939.043981177914
2014-09-01,6634.0,6745.5833205535955,10808.4,0,6194.05734384197,7339.140634798787,6949.84495430575,6949.84495430575
2014-10-01,7065.0,7021.681578929535,10808.4,0,6469.760974794493,7574.5922824601,6960.284721133956,6960.284721133956
2014-11-01,6400.0,6727.834438917306,10808.4,0,6174.073860661615,7318.774440774208,6971.059191298759,6971.059191298759
2014-12-01,7063.0,6812.358606366873,10808.4,0,6228.91231331095,7408.063025219018,6981.473166484689,6981.473166484689
2015-01-01,7036.0,7336.708898075662,10808.4,0,6758.645721104069,7922.362974644418,6992.220837744155,6992.220837744155
2015-02-01,6870.0,6810.277165174643,10808.4,0,6259.460608027131,7393.043475841963,7002.954775003903,7002.954775003903
2015-03-01,7366.0,7257.648985451989,10808.4,0,6718.533298562457,7879.9521545904145,7012.638079217274,7012.638079217274
2015-04-01,7962.0,7323.027003141134,10808.4,0,6709.973884420661,7855.864193177348,7023.345675387505,7023.345675387505
2015-05-01,6972.0,7164.218657154187,10808.4,0,6555.426731330574,7740.498936561257,7033.694585458415,7033.694585458415
