Year_BE,Month,YYMM,Province_Code,Province,Divorce,Marriage
2564,2,6402,18,จังหวัดชัยนาท,37.0,112.0
2564,2,6402,19,จังหวัดสระบุรี,137.0,418.0
2564,2,6402,20,จังหวัดชลบุรี,504.0,1611.0
2564,2,6402,21,จังหวัดระยอง,272.0,879.0
2564,2,6402,22,จังหวัดจันทบุรี,69.0,264.0
2564,2,6402,23,จังหวัดตราด,34.0,122.0
2564,2,6402,24,จังหวัดฉะเชิงเทรา,113.0,462.0
2564,2,6402,25,จังหวัดปราจีนบุรี,117.0,372.0
2564,2,6402,26,จังหวัดนครนายก,30.0,118.0
2564,2,6402,27,จังหวัดสระแก้ว,70.0,210.0
2564,2,6402,30,จังหวัดนครราชสีมา,331.0,1068.0
2564,2,6402,31,จังหวัดบุรีรัมย์,125.0,396.0
2564,2,6402,32,จังหวัดสุรินทร์,107.0,383.0
2564,2,6402,33,จังหวัดศรีสะเกษ,142.0,466.0
2564,2,6402,34,จังหวัดอุบลราชธานี,209.0,656.0
2564,2,6402,35,จังหวัดยโสธร,63.0,150.0
2564,2,6402,36,จังหวัดชัยภูมิ,113.0,357.0
2564,2,6402,37,จังหวัดอำนาจเจริญ,24.0,106.0
2564,2,6402,38,จังหวัดบึงกาฬ,40.0,140.0
2564,2,6402,39,จังหวัดหนองบัวลำภู,50.0,155.0
2564,2,6402,40,จังหวัดขอนแก่น,240.0,623.0
2564,2,6402,41,จังหวัดอุดรธานี,192.0,558.0
2564,2,6402,42,จังหวัดเลย,112.0,283.0
2564,2,6402,43,จังหวัดหนองคาย,74.0,191.0
2564,2,6402,44,จังหวัดมหาสารคาม,89.0,244.0
2564,2,6402,45,จังหวัดร้อยเอ็ด,133.0,414.0
2564,2,6402,46,จังหวัดกาฬสินธุ์,84.0,311.0
2564,2,6402,47,จังหวัดสกลนคร,121.0,346.0
2564,2,6402,48,จังหวัดนครพนม,68.0,222.0
2564,2,6402,49,จังหวัดมุกดาหาร,41.0,146.0
2564,2,6402,50,จังหวัดเชียงใหม่,225.0,809.0
2564,2,6402,51,จังหวัดลำพูน,80.0,249.0
2564,2,6402,52,จังหวัดลำปาง,105.0,304.0
2564,2,6402,53,จังหวัดอุตรดิตถ์,51.0,199.0
2564,2,6402,54,จังหวัดแพร่,50.0,143.0
2564,2,6402,55,จังหวัดน่าน,53.0,163.0
2564,2,6402,56,จังหวัดพะเยา,69.0,213.0
2564,2,6402,57,จังหวัดเชียงราย,153.0,491.0
2564,2,6402,58,จังหวัดแม่ฮ่องสอน,15.0,115.0
2564,2,6402,60,จังหวัดนครสวรรค์,153.0,383.0
2564,2,6402,61,จังหวัดอุทัยธานี,42.0,103.0
2564,2,6402,62,จังหวัดกำแพงเพชร,80.0,259.0
2564,2,6402,63,จังหวัดตาก,36.0,165.0
2564,2,6402,64,จังหวัดสุโขทัย,73.0,203.0
2564,2,6402,65,จังหวัดพิษณุโลก,120.0,411.0
2564,2,6402,66,จังหวัดพิจิตร,63.0,164.0
2564,2,6402,67,จังหวัดเพชรบูรณ์,116.0,348.0
2564,2,6402,70,จังหวัดราชบุรี,115.0,334.0
2564,2,6402,71,จังหวัดกาญจนบุรี,98.0,293.0
2564,2,6402,72,จังหวัดสุพรรณบุรี,92.0,286.0
2564,2,6402,73,จังหวัดนครปฐม,130.0,429.0
2564,2,6402,74,จังหวัดสมุทรสาคร,85.0,219.0
2564,2,6402,75,จังหวัดสมุทรสงคราม,29.0,70.0
2564,2,6402,76,จังหวัดเพชรบุรี,58.0,162.0
2564,2,6402,77,จังหวัดประจวบคีรีขันธ์,85.0,278.0
2564,2,6402,80,จังหวัดนครศรีธรรมราช,181.0,500.0
2564,2,6402,81,จังหวัดกระบี่,76.0,257.0
2564,2,6402,82,จังหวัดพังงา,29.0,97.0
2564,2,6402,83,จังหวัดภูเก็ต,78.0,240.0
2564,2,6402,84,จังหวัดสุราษฎร์ธานี,162.0,584.0
2564,2,6402,85,จังหวัดระนอง,16.0,70.0
2564,2,6402,86,จังหวัดชุมพร,69.0,259.0
2564,2,6402,90,จังหวัดสงขลา,204.0,609.0
2564,2,6402,91,จังหวัดสตูล,36.0,99.0
2564,2,6402,92,จังหวัดตรัง,68.0,249.0
2564,2,6402,93,จังหวัดพัทลุง,64.0,201.0
2564,2,6402,94,จังหวัดปัตตานี,33.0,175.0
2564,2,6402,95,จังหวัดยะลา,17.0,149.0
2564,2,6402,96,จังหวัดนราธิวาส,29.0,193.0
2564,3,6403,10,กรุงเทพมหานคร,1580.0,3718.0
2564,3,6403,11,จังหวัดสมุทรปราการ,420.0,1004.0
2564,3,6403,12,จังหวัดนนทบุรี,271.0,663.0
2564,3,6403,13,จังหวัดปทุมธานี,390.0,805.0
2564,3,6403,14,จังหวัดพระนครศรีอยุธยา,250.0,462.0
2564,3,6403,15,จังหวัดอ่างทอง,35.0,103.0
2564,3,6403,16,จังหวัดลพบุรี,175.0,386.0
2564,3,6403,17,จังหวัดสิงห์บุรี,42.0,93.0
2564,3,6403,18,จังหวัดชัยนาท,59.0,133.0
2564,3,6403,19,จังหวัดสระบุรี,200.0,425.0
2564,3,6403,20,จังหวัดชลบุรี,710.0,1552.0
2564,3,6403,21,จังหวัดระยอง,440.0,806.0
2564,3,6403,22,จังหวัดจันทบุรี,114.0,208.0
2564,3,6403,23,จังหวัดตราด,44.0,112.0
2564,3,6403,24,จังหวัดฉะเชิงเทรา,198.0,440.0
2564,3,6403,25,จังหวัดปราจีนบุรี,163.0,307.0
2564,3,6403,26,จังหวัดนครนายก,59.0,127.0
2564,3,6403,27,จังหวัดสระแก้ว,98.0,268.0
2564,3,6403,30,จังหวัดนครราชสีมา,521.0,1164.0
2564,3,6403,31,จังหวัดบุรีรัมย์,187.0,543.0
2564,3,6403,32,จังหวัดสุรินทร์,164.0,448.0
2564,3,6403,33,จังหวัดศรีสะเกษ,180.0,506.0
2564,3,6403,34,จังหวัดอุบลราชธานี,297.0,643.0
2564,3,6403,35,จังหวัดยโสธร,91.0,192.0
2564,3,6403,36,จังหวัดชัยภูมิ,156.0,378.0
2564,3,6403,37,จังหวัดอำนาจเจริญ,53.0,132.0
2564,3,6403,38,จังหวัดบึงกาฬ,65.0,159.0
2564,3,6403,39,จังหวัดหนองบัวลำภู,84.0,157.0
2564,3,6403,40,จังหวัดขอนแก่น,301.0,745.0
2564,3,6403,41,จังหวัดอุดรธานี,268.0,571.0
2564,3,6403,42,จังหวัดเลย,134.0,309.0
2564,3,6403,43,จังหวัดหนองคาย,82.0,171.0
2564,3,6403,44,จังหวัดมหาสารคาม,151.0,306.0
2564,3,6403,45,จังหวัดร้อยเอ็ด,191.0,411.0
2564,3,6403,46,จังหวัดกาฬสินธุ์,159.0,284.0
2564,3,6403,47,จังหวัดสกลนคร,172.0,407.0
2564,3,6403,48,จังหวัดนครพนม,95.0,231.0
2564,3,6403,49,จังหวัดมุกดาหาร,75.0,113.0
2564,3,6403,50,จังหวัดเชียงใหม่,301.0,763.0
2564,3,6403,51,จังหวัดลำพูน,97.0,245.0
2564,3,6403,52,จังหวัดลำปาง,130.0,262.0
2564,3,6403,53,จังหวัดอุตรดิตถ์,57.0,146.0
2564,3,6403,54,จังหวัดแพร่,66.0,142.0
2564,3,6403,55,จังหวัดน่าน,91.0,195.0
2564,3,6403,56,จังหวัดพะเยา,83.0,161.0
2564,3,6403,57,จังหวัดเชียงราย,169.0,459.0
2564,3,6403,58,จังหวัดแม่ฮ่องสอน,35.0,95.0
2564,3,6403,60,จังหวัดนครสวรรค์,197.0,348.0
2564,3,6403,61,จังหวัดอุทัยธานี,76.0,100.0
2564,3,6403,62,จังหวัดกำแพงเพชร,112.0,221.0
2564,3,6403,63,จังหวัดตาก,59.0,178.0
2564,3,6403,64,จังหวัดสุโขทัย,103.0,198.0
2564,3,6403,65,จังหวัดพิษณุโลก,184.0,345.0
2564,3,6403,66,จังหวัดพิจิตร,102.0,127.0
2564,3,6403,67,จังหวัดเพชรบูรณ์,168.0,326.0
2564,3,6403,70,จังหวัดราชบุรี,181.0,346.0
2564,3,6403,71,จังหวัดกาญจนบุรี,150.0,303.0
2564,3,6403,72,จังหวัดสุพรรณบุรี,148.0,290.0
2564,3,6403,73,จังหวัดนครปฐม,146.0,426.0
2564,3,6403,74,จังหวัดสมุทรสาคร,137.0,307.0
2564,3,6403,75,จังหวัดสมุทรสงคราม,30.0,61.0
2564,3,6403,76,จังหวัดเพชรบุรี,96.0,152.0
2564,3,6403,77,จังหวัดประจวบคีรีขันธ์,121.0,232.0
2564,3,6403,80,จังหวัดนครศรีธรรมราช,224.0,574.0
2564,3,6403,81,จังหวัดกระบี่,71.0,205.0
2564,3,6403,82,จังหวัดพังงา,51.0,86.0
2564,3,6403,83,จังหวัดภูเก็ต,116.0,199.0
2564,3,6403,84,จังหวัดสุราษฎร์ธานี,195.0,464.0
2564,3,6403,85,จังหวัดระนอง,33.0,59.0
